Gender,Most Comfortable Language,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Academic Year and Trimester,Year of Birth,English Proficiency,Interest in Studying Computer,Average Studying Hours per Week,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Male,Chinese,Perak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Often,Year 2 Trimester 3,2001,4,4,2,3.3821,A-,B+,C+,B-,B-,C+,A+,B+,B,A-,C,B+,A+,A+,B,A+,B-,A,A-,B,A,A-,A-,A+,A+,B+,A-,A+,A,A,B-,B+,A,F,A
Male,Chinese,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 1,2003,3,4,1,3.7434,B,A,A+,B,A-,B+,A+,A,A,A-,A+,A,A,A+,A-,B+,A+,B+,A+,A-,A,B+,A+,A+,B+,B,A+,A+,B,A,B+,A+,A+,A+,A+
Male,Chinese,Kelantan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Never,Year 2 Trimester 3,2002,3,4,7,3.8695,A+,A,A,A+,A,A-,A,A,A-,A,A-,A+,A+,A+,A+,A,A,A,A-,A+,A,A,A+,A-,A+,A,B,A,B-,A+,A,A+,A-,A+,B+
Male,English,Selangor,Yes,Diploma,Mostly A's,Sometimes,Year 2 Trimester 3,2004,6,3,9,3.6534,A-,A,A-,B+,A-,A-,A-,B-,B-,A+,A,A,A,A,A,B+,B,A,A,A-,A-,A,A+,A-,A,A,B+,A-,B+,A-,A-,A,B+,B,A+
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Often,Year 2 Trimester 3,2001,4,5,11,3.4817,B+,A,A-,B,B-,B,B,A-,B,A-,A-,B+,A+,A+,B+,A+,B,A-,B,A,A,A+,A,A,A+,B-,A+,B,B+,B,B,B+,B,A+,B
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Very Often,Year 2 Trimester 3,2003,3,4,7,3.3022,A+,A-,B+,A+,B+,B-,B+,B-,B,B,A-,B,B,B,B-,A+,A-,A,C,B-,B,A,B+,B,A,B,A+,A+,A,B,B+,B,A+,A-,C
Female,English,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 2 Trimester 1,2003,4,3,11,3.8374,A,A,A,A,A,A+,A,A,A,A,A,A,A,A,A-,A,A+,B,B+,A,B+,A,B+,A+,A-,A,A,A+,A,A,A+,A-,A,B+,A+
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 3 Trimester 2,2004,3,4,10,3.2112,B,B-,B+,B+,B+,B-,B,B-,A+,B,B+,A-,A-,A-,B-,B,A-,A-,C+,B-,B+,A,B,B+,A-,B,A-,A,B,B-,B+,B-,B+,A-,C
Male,English,Selangor,Yes,Foundation in Art,Mostly B's,Often,Year 3 Trimester 2,2004,5,4,12,3.4615,A+,A-,B+,B+,B,A+,A+,B,B,A,B,B,B,B,B+,A+,B,A,B+,B,A-,A+,B,C+,B,A-,A,A+,A+,B+,A+,A-,B,B,A+
Male,Chinese,Johor,Yes,UEC (Unified Examination Certificate),Mostly B's,Often,Year 2 Trimester 2,2002,3,4,5,3.5674,B,A+,B,A+,A,B-,A-,A-,A-,A-,A+,A,A,A-,C+,A,B+,C+,A+,A+,A,A+,B-,B+,A,A+,A,A,B,A-,A,B,A+,B-,B
Female,English,Sarawak,No,Diploma,Mostly B's,Sometimes,Year 3 Trimester 1,2002,4,4,10,2.6665,B-,B,B+,C,B-,A-,C,B-,C,B+,C+,A-,B,C+,B,B,C+,B,B-,B,B+,B+,C,B,C,A-,B+,B-,C,B+,C+,F,B,F,B-
Male,Chinese,Sarawak,Yes,Foundation in Science,Mostly A's,Very Often,Year 3 Trimester 2,2001,4,4,11,2.1104,C,F,F,C,B+,B+,C+,C,C+,C+,F,C+,F,F,B-,B-,F,B,B-,C,C,C,B+,B+,B,B-,C,B+,B-,F,B+,C+,C+,C,A
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly C's,Very Often,Year 3 Trimester 2,2002,4,4,4,2.3987,F,C+,C,B-,C+,C+,C,B+,B,A-,B,A+,A-,B,C,B,B-,C,C,A-,C+,B+,B-,B-,C+,B,B-,C,C,F,B-,C+,F,C,C
Male,Chinese,Selangor,Yes,A-Level,Mostly B's,Very Often,Year 3 Trimester 2,2001,3,5,6,2.9105,C+,B-,A+,B,F,A-,B-,B+,B+,B+,B+,B+,B,B+,A+,B-,C,A+,B,B+,B+,B+,B,B,B+,A+,B-,C+,B,B,C+,C+,F,C+,B+
Female,Chinese,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 2 Trimester 2,2004,3,3,4,3.6659,B+,B+,A+,A,B+,B+,A+,A,A+,A,A-,A,A,A,A+,A,B+,B+,A,A,A+,A+,B+,A+,B,B+,A-,B,B,B+,C,A,B+,A+,A
Male,Chinese,Sarawak,Yes,Foundation in Art,Mostly B's,Sometimes,Year 2 Trimester 3,2002,3,3,4,2.4556,C+,B+,C+,F,C+,F,B-,C,C,B,A-,A+,A-,B,C+,B-,C+,B,B,B-,C,C+,B-,C+,B-,C,F,C,C,B,B,B+,B+,A-,C+
Male,English,Perak,Yes,Foundation in Art,Mostly B's,Often,Year 3 Trimester 1,2001,3,4,13,3.6723,B+,B,A,A-,B+,B+,A,A+,A,A,A-,A,A,A+,A,A+,B+,B,A-,B,A+,A-,A+,A,A-,A+,B+,B,A,A+,B+,A-,B,B,A
Female,English,Sarawak,Yes,Diploma,Mostly B's,Often,Year 3 Trimester 2,2002,4,5,2,3.0603,B+,A+,C,C,C,B-,B,B,B-,A,B+,A,A-,B-,A+,B+,C,A,A,A,B-,A+,B-,A,A,B+,C,B,B,A,B,B-,C,C,C
Male,Chinese,Pahang,Yes,Foundation in Science,Mostly A's,Often,Year 2 Trimester 1,2004,3,4,2,3.8208,A,A,A+,A+,A,B,A,A,A,A+,A,A,A,A,B+,A,A-,A+,A+,B-,A,A-,A+,A+,A,B+,A+,A-,A,B+,A,B,A,A-,A-
Female,Chinese,Kuala Lumpur,Yes,Diploma,Mostly A's,Often,Year 1 Trimester 2,2002,3,4,13,3.8695,A-,A,A,A+,A,A-,A,A,A,A,A,A,A,A,A+,A-,A,A,A+,A,A+,B,A+,A-,A-,A,A,A,B+,A+,A-,B-,A,A+,A
Female,Chinese,Sarawak,Yes,Foundation in Art,Mostly A's,Very Often,Year 2 Trimester 2,2003,4,4,16,3.3191,A-,B+,A+,B+,B+,A,B,B,B+,A-,B,B,A-,B,A-,C,A+,A,A+,B,B-,B,B,A-,A-,C+,C+,A,A+,A,B,B+,B,A,B+
Male,Chinese,Kuala Lumpur,Yes,Foundation in Science,Mostly A's,Very Often,Year 2 Trimester 2,2001,4,4,-4,3.501,B+,B,A+,B,B+,C,A+,A+,A,A+,A-,A+,A,B+,B-,B+,A-,B,B+,A+,B+,B,A-,A+,B+,B,A-,B,A,B,B,A+,A,A,A+
Male,English,Penang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 3,2003,4,4,2,3.4565,B,A-,A-,B,B+,A-,A-,A+,A-,A-,C,B,B,B-,A+,A-,B+,A-,A+,A-,B+,A+,B-,A+,A-,A-,A-,B+,B-,B+,A,B+,A-,B+,A
Male,Chinese,Sabah,Yes,UEC (Unified Examination Certificate),Mostly A's,Sometimes,Year 2 Trimester 2,2003,3,5,4,3.1889,A+,C,A+,B,A+,B+,C,B+,B-,A-,A+,A-,B,B-,A-,B+,A-,A+,A+,A-,B-,C+,F,A-,C,A+,A-,C+,A,B-,A+,B-,B,A-,A
Male,English,Kelantan,Yes,Foundation in Science,Mostly A's,Often,Year 2 Trimester 3,2002,5,4,7,3.4364,A+,A,C,A,A,B,B,B-,B-,A,A,A,A,A,A,A+,B,A-,B+,B,B-,A,B+,C+,B+,B-,A+,A+,C,A,A-,A+,A,A,A-
Male,Chinese,Penang,Yes,Diploma,Mostly B's,Sometimes,Year 2 Trimester 1,2002,3,3,12,3.4584,B+,A+,A-,B+,B+,B,B+,B,A-,A,B+,A+,A-,B+,A+,B,B,A,A-,B,B+,A+,B+,A-,B,B-,B,A-,B+,A-,A-,B+,A+,B,A
Male,Chinese,Kedah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Alumni,2002,2,3,3,3.9233,A,A,A,A,A,A-,A,A,A,A,A,A,A,A,A+,A-,A+,A+,A,A+,A,A+,A+,A,A,A-,A,A+,A+,A+,B,A+,A-,A,B+
Male,Chinese,Perak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 3 Trimester 3,2001,4,4,-4,2.0995,B-,C+,F,F,F,F,B+,B+,B+,C+,C+,B,B+,C,B-,C,B+,F,C+,C,B-,C,C+,F,A-,B-,A-,F,C,C,F,A+,C,C,B
Female,English,Malacca,Yes,Foundation in Science,Mostly B's,Never,Year 3 Trimester 1,2000,4,4,7,3.6161,A-,A+,A-,A-,A-,B+,A-,A,B,A-,A,A,A,A+,A+,B,B+,A+,B,A-,B,A-,A-,B+,A,B+,A,A,B-,A,A-,B+,A,A-,A
Male,English,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Often,Year 3 Trimester 2,2001,3,4,-1,2.9606,F,A-,B+,A+,A-,C+,B,B,B,A-,A+,A,B,B-,A+,B+,B+,B-,C,C+,B-,A-,B-,B+,B-,C,A-,F,A,B,B+,B+,C+,A-,A-
Female,Chinese,Sarawak,Yes,Foundation in Science,Mostly A's,Sometimes,Year 1 Trimester 3,2001,3,5,3,3.7382,A+,B,B,A-,A-,B,A-,A,A+,A,A+,A,A,B,A-,A+,A+,A+,A+,B,A,A,B+,B,A,A+,B+,A+,A,A+,A-,A+,A+,B,A+
Female,Chinese,Kelantan,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,Year 2 Trimester 2,2003,3,3,12,3.8636,A,A-,A,A,A+,B,A,A,A+,A,A,A,A,A,A,A-,A,A+,A,A-,A,B,A+,A+,A+,B+,A-,A+,A+,B-,A+,A+,A,A+,A+
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2002,4,3,-1,1.1907,F,F,F,C,F,F,F,F,C+,A+,F,C,C,C+,F,C,B-,F,C+,F,C,C,B-,F,F,C,C,C,F,C+,F,C+,B-,F,F
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Very Often,Year 3 Trimester 1,2003,4,5,9,2.6726,B-,B-,B-,B-,C+,B-,C,B+,B+,B-,B-,B,B+,B-,B,B,B-,B,B-,B-,C+,A,B,F,C,C+,B,C,B-,C+,A-,B+,C+,B-,B-
Female,Chinese,Negeri Sembilan,Yes,Foundation in Science,Mostly A's,Often,Year 1 Trimester 2,2003,3,4,15,3.809,A,A,A,A+,A+,B,A,A,A,A,A,A,A,A,A,A-,A,A-,B+,A,A,A+,B+,A-,A-,A-,B+,A+,A,B+,A+,B+,B+,A+,B+
Male,English,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Sometimes,Year 2 Trimester 2,2003,4,4,9,3.2938,A+,B,B+,A-,B,C,B+,C+,B-,A-,B+,A+,A-,B,B+,A+,A-,C,C+,B,A-,A-,A-,A-,B,A,B+,B,B-,A+,B+,A+,B,B,A
Female,English,Sarawak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 1 Trimester 3,2002,3,4,1,3.6956,A+,A+,A,A-,B,B-,A-,A-,A+,B,A,A,A,A,A+,A,B+,A,A,B+,A+,B,A,B,A-,A+,B,A,A+,B+,B,A,A-,A,A-
Female,Chinese,Selangor,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,Year 2 Trimester 3,2003,5,4,1,3.3528,A+,B,B-,A-,B,C,C+,C,B,A+,A+,A+,A,A+,A+,C+,C+,A+,B+,B,A+,A+,A+,A+,A+,A+,B,C+,A,B,B,B+,B-,B+,B+
Male,Chinese,Perak,Yes,Foundation in Art,Mostly A's,Often,Year 3 Trimester 2,2001,5,5,9,3.8808,A+,A,A,A,A,A+,A,A,A+,A,A,A+,A,A,A,A-,A-,A,A+,A,A+,A+,A+,B,A-,A-,A+,A+,A-,B,A+,A+,A-,B+,A+
Male,Chinese,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2002,3,4,7,3.0893,B,A-,B,A-,B-,A-,B-,C,B-,A-,B+,B-,B,B,A+,A,A-,C+,A+,A-,B,A+,B-,B-,B,A-,B+,C,C+,B,A-,B-,B+,B,B-
Female,English,Pahang,Yes,Foundation in Art,Mostly A's,Often,Year 3 Trimester 2,2002,4,5,8,3.3824,A-,A,B,C,B-,B,B,A-,A-,A,A-,B+,B,A-,B,A,C+,A+,B,A,B,A-,A,B,B,A,B+,A-,A-,A+,A-,B,B+,B,A
Male,English,Kelantan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Sometimes,Year 3 Trimester 2,2002,3,3,11,2.6922,B+,F,B+,B-,C,C,A-,C,C,A-,C,C,B-,C,C,C,A,A,B+,B,B-,C+,B,B,A-,C,B,B+,B,B+,C+,B+,C+,B,C
Male,Chinese,Pahang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 1,2002,4,4,10,3.0277,B+,B-,B,C,C,B-,B+,B+,B+,A-,B+,A,B,B-,A+,C+,B+,A+,A,B+,C+,B+,B+,A-,B+,B+,B-,C+,B-,B,B-,A+,B,C,C
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Often,Year 3 Trimester 2,2003,4,5,3,2.8318,B-,B-,C,B-,B-,C,B+,B+,B+,A+,B+,A-,B+,B-,A-,B+,B-,B,A+,A-,C,A,C+,C,B+,C+,B,A-,C,C+,F,B+,B,B,C
Female,Chinese,Penang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 3,2003,4,3,15,3.4138,B,B+,A-,A-,B-,C,A-,A+,A,B,A-,A,A+,A+,A+,A-,A,B,A+,A-,B,A-,A,A+,A-,C+,C,B+,A+,B,C,A+,B,A-,A-
Male,English,Penang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 3 Trimester 3,2001,4,4,18,2.7985,C,B-,B-,A-,B,A,B-,C,B-,A,B-,B+,B+,B-,B-,A-,B,B,C,F,B-,A+,B+,B-,C,A,A+,C+,B,B-,B,B-,C+,C+,C
Male,English,Sarawak,Yes,Foundation in Art,Mostly A's,Very Often,Alumni,2003,5,3,18,3.8891,A,A+,A,A,A,A,A,A,A,A+,A,A,A+,A,A,A+,A+,B,A+,A,A+,A-,A,A-,A-,A+,A+,A,B+,A,A+,A-,A,B,A+
Male,English,Malacca,Yes,UEC (Unified Examination Certificate),Mostly B's,Often,Year 2 Trimester 1,2002,4,4,14,3.5416,B,A-,A,A+,A,A,A-,C,B,A,A,A+,A-,A+,C+,C,B,B-,A-,B+,A,A+,A+,A,A+,A,A,B+,B-,A+,A,A,A+,C+,A-
Female,English,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 3 Trimester 1,2004,4,4,12,3.6641,A+,B,B,B,A,A+,A+,A-,A+,A,A+,A,A,B,A,A-,A+,A,A-,A-,B,A+,B+,A,B+,B,B,A+,A+,A+,A+,A,A,A+,B-
Female,English,Johor,Yes,Foundation in Science,Mostly A's,Never,Year 1 Trimester 3,2002,3,4,11,3.7553,A-,A,A,B,A+,B,B,A+,A,A,A+,A-,A+,A,A,B,A+,A-,A+,A,A+,A,A,C+,B+,A+,A-,A,A-,A,A+,A+,A+,A+,B
Male,Chinese,Selangor,No,Diploma,Mostly B's,Never,Year 2 Trimester 3,2002,4,3,3,3.7038,A+,A,A-,B+,B+,A-,A,A,A,A,B,A,A,A,A,A+,A,A,A,A+,A,B-,B,A-,A,B+,A,A+,A+,A+,B-,B,B+,B,B
Female,Chinese,Malacca,Yes,Foundation in Science,Mostly B's,Often,Year 1 Trimester 3,2001,4,3,18,3.0114,C,C,B,B-,C+,B+,A-,B+,A,B+,B+,B,A,A,A-,B,C,A,A-,C,B+,B-,C,A-,A+,A,C+,F,B-,B-,C,B-,B,B,A+
Female,Chinese,Perak,Yes,Foundation in Art,Mostly A's,Never,Year 2 Trimester 3,2002,4,4,-1,3.3818,B,B,C,B+,B-,B-,A,A+,A+,A,A,A,A,A,A+,B+,C,B,A-,A+,A+,B,B+,B-,B,A+,B+,B,B-,A,A,B,B+,C+,B-
Male,Chinese,Sarawak,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 3,2002,4,5,0,3.0849,B+,A-,A-,B+,B-,B,B-,C,C,B+,B+,A-,A-,B+,A+,B,A,C+,B+,C+,C+,A,B,A,A-,B+,A,B-,B,C+,B-,B+,C+,B+,A+
Male,Chinese,Malacca,No,Foundation in Science,Mostly B's,Never,Year 2 Trimester 2,2002,3,3,7,3.3985,B,A-,A-,B+,B+,A,B+,B,A,A-,B-,B+,A+,A+,B+,A+,B+,B,A,A-,B+,A-,C+,B-,A+,A+,A-,B,B+,C,A-,B,A,B,B+
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,Year 2 Trimester 2,2001,3,3,-2,3.3709,A-,B-,B,A+,B+,B,B+,A-,B,A-,B-,B-,A+,A-,A-,B,A+,B+,A,A,B,B-,A+,B,A,B,B-,A,B,B-,A+,B+,A,B+,A-
Male,Chinese,Negeri Sembilan,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 1,2001,4,5,10,3.254,B-,A+,A,B,B+,B,A-,B,B,B+,B-,B,B+,A-,B+,B-,A-,A,B,B-,B,A,B,B-,A-,C+,B,A-,B,A,B-,C+,A,A,A+
Male,English,Sabah,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 2,2002,5,4,8,3.2106,B+,B-,B,C+,B,B+,A-,B+,B,B-,B,B,A-,B+,B-,B,A,B+,B-,B,A+,C+,A,A,B,B,B+,B-,B,B+,C+,C+,A-,A,A-
Male,English,Selangor,Yes,Foundation in Art,Mostly B's,Often,Year 3 Trimester 3,2001,6,6,9,2.9912,B+,B,C,B+,B-,C+,B-,B+,C+,A+,A+,A+,B+,B-,B+,A+,F,B-,A,C+,B,A+,A-,B+,B-,B-,C+,B+,B,B+,B,B-,B-,B,B
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Sometimes,Year 3 Trimester 1,2003,4,5,5,2.8408,B,B-,B-,C,B+,B-,C,B-,B-,B+,F,B,B+,B-,B-,A-,B+,A-,A,B-,C+,B+,B,A-,B+,B-,B+,A-,C,C,B-,B,B,A+,C+
Male,English,Kelantan,Yes,Foundation in Art,Mostly B's,Often,Year 2 Trimester 1,2002,4,4,7,3.4591,B+,A-,B-,B,A-,B+,A-,A,A+,A,A-,A+,A-,B+,A,B+,A,B,A+,A-,B,A,B+,C,B,A+,B+,A+,B-,B-,A-,A-,A+,B+,B
Male,English,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 2 Trimester 1,2003,3,3,4,3.6784,A,A,A,A-,A,B,A,A,A,A,A,A,A,A,A-,A+,A+,B+,B+,A,B-,B-,A,A,A,A-,A,B+,A,B+,A,B-,A+,A+,B
Female,Chinese,Pahang,Yes,Foundation in Science,Mostly C's,Often,Year 2 Trimester 3,2001,3,3,3,2.6577,B+,C+,F,F,F,C,B+,B,B+,A,C,B,A+,A-,B,A+,B,B,B,B,A,A+,F,B-,B+,A-,F,B+,F,A,F,A,C,B+,B
Male,English,Sabah,Yes,Foundation in Art,Mostly B's,Often,Year 2 Trimester 2,2001,3,4,9,3.3968,B,A-,A,B,A-,C,A-,A+,B+,A,B+,A,A-,B,A+,A+,A-,A-,A,A-,B,A+,B-,C+,A+,C,B,A-,A+,B,B+,A+,B-,B-,A-
Female,Chinese,Sarawak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Sometimes,Year 2 Trimester 2,2005,3,4,0,2.7644,B,C+,F,C,B-,C,B,B,B,A+,C,A,A+,A-,B-,F,B-,A-,B-,A+,B,B,B-,B+,A-,B,C,A-,F,A,A,B-,A-,B-,F
Female,Chinese,Pahang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 3,2002,4,4,12,3.7153,A,A,A,A,A,A,B,B+,B,A,A,A,A,A,A,A-,A-,B+,A,A+,A,B,A+,A+,A-,A+,C,A,A-,B,A+,B,A+,A+,A-
Male,Chinese,Penang,Yes,Diploma,Mostly B's,Never,Year 3 Trimester 1,2004,4,5,19,3.551,A-,A-,B,B,A+,A,A-,A-,A-,A,A+,A-,B,B,B+,A,A-,A-,A+,A-,B,A-,A-,A-,B,B,B+,A+,C,A-,A,A+,A,A-,A
Male,Chinese,Malacca,No,Foundation in Science,Mostly B's,Often,Year 3 Trimester 3,2001,3,5,-3,3.02,B,A,B-,A+,B-,C,B+,B+,A-,A,B-,B-,B+,C+,A,B,B+,C+,A-,B+,B-,A-,B-,C+,A+,C+,B+,B-,B+,B+,C+,B-,B,C,B-
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 1,2002,3,3,12,3.5666,A-,B+,A-,A+,B,B-,A+,A-,A+,A,A+,A,A,A,B,B+,A+,A+,B+,A,B+,B+,B+,A,A-,B+,B,C,A,B,A,A+,B,B+,A
