Gender,Year of Birth,Most Comfortable Language,English Proficiency,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Interest in Studying Computer,Average Studying Hours per Week,Academic Year and Trimester,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Male,2003,Chinese,4,Sarawak,Yes,Foundation in Science,Mostly B's,Very Often,4,10,Year 3 Trimester 1,3.66,A-,A-,B+,A,A-,B,A-,A,A,B+,A-,A-,A,A,A-,,A,,,,,,A,,,,,A,,,A,,,A,
Male,2002,Chinese,3,Johor,Yes,Foundation in Science,Mostly A's,Sometimes,4,5,Alumni,3.7,A-,A,A-,A,A,B,A,A-,A+,A+,A,A,A,A,B+,B,A+,A,A,B+,A-,,A,,,,A-,A,,,A,,,,
Male,2003,English,4,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,5,2,Year 3 Trimester 2,3.1,B,B+,C,B-,B,B-,B,A,B,B+,,B+,B+,B-,C+,,A,B+,B,B+,,,,,,,,,,,B+,,,,
Male,2002,Chinese,3,Selangor,Yes,Foundation in Science,Mostly B's,Never,4,2,Year 3 Trimester 2,3.1,C,A,C,B-,C+,B,B,A-,B,B+,,B,A-,B+,B-,,B+,B+,B+,A,,,,,,,,,,,A,,B+,,
Male,2001,Chinese,4,Selangor,Yes,Foundation in Science,Mostly B's,Often,5,6,Year 3 Trimester 1,3.19,A-,B+,B-,B,B+,C+,B-,B,B,B,A-,B,B-,B+,,,,,,,,,,,,,,,,,A,,A-,,
Male,2003,Chinese,3,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,4,20,Year 2 Trimester 3,3.45,A-,B,A,A,B+,B,,,,,A-,A-,B-,A,,,,,,,,,,,,,,,,,,,,,B+
Male,2003,English,4,Selangor,Yes,Foundation in Science,Mostly C's,Often,4,10,Year 2 Trimester 3,3,B-,B,B,B-,B,C+,,,,,B,A,B-,B,,,,,,,,,,,,,,B,,,B+,,,,
Female,2003,Chinese,4,Johor,Yes,Foundation in Science,Mostly A's,Often,4,14,Year 2 Trimester 3,3.9823,A,A+,A+,A+,A,A,,,,,A,A+,A,A+,,,,,,,,,,,,,A,,,,A,,,,
Female,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,3,3,Year 2 Trimester 3,3.14,A-,B+,C+,B-,B,B,,,,,B+,B,B+,B-,,,,,,,,,,,,,,,,,B+,,,,
Female,2003,Chinese,2,Selangor,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,4,3,Year 2 Trimester 2,3.0408,A-,B-,B-,B+,B+,C+,B+,,,B+,,B,,,,,A-,,,,,,,,,,,B+,,,,,,,
Male,2004,Chinese,4,Selangor,No,Foundation in Art,Mostly C's,Sometimes,3,2,Year 2 Trimester 3,3.04,C+,B+,C+,B-,C+,C+,,,,,A-,B,B+,B+,,,,,,,,,,,,,,,,,,,,,B+
Male,2003,English,3,Johor,Yes,Foundation in Science,Mostly C's,Never,4,7,Year 2 Trimester 2,2.5,C+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2004,English,4,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,5,2,Year 2 Trimester 3,3.14,B+,B+,B+,B+,B,C+,,,,,A-,B,B,B,,,,,,,,B+,,,,,,,,,,,,,
Male,2004,Chinese,4,Pahang,No,UEC (Unified Examination Certificate),Mostly B's,Sometimes,4,6,Year 3 Trimester 1,3.1169,A,A,B+,B+,A-,A,B-,B+,B,B,B,B+,B+,B,,,,,,,,,B+,,,,,B+,,,F,,,,
Female,2002,Chinese,4,Selangor,Yes,UEC (Unified Examination Certificate),Mostly B's,Often,4,4,Year 2 Trimester 3,3.5908,A,A-,A+,A,A-,B+,,,,,A-,B,B+,B+,,,,,,,,A,,,,,B+,,,,,,,,
Male,2003,Chinese,2,Selangor,Yes,Foundation in Science,Mostly C's,Often,4,1,Year 3 Trimester 1,2.77,B,B,C,B-,B-,C+,C+,B+,B,B-,B+,B-,B-,B,,,,,,,,,,,,,,B+,,,B,,,,
Male,2002,Chinese,4,Pahang,Yes,Foundation in Science,Mostly A's,Often,5,5,Year 2 Trimester 3,3.8119,A,A,A,A-,A,B+,,,,,A,A,A-,B+,,,,,,,,,,,,,,,,,,,,,A
Female,2003,English,4,Selangor,Yes,Foundation in Science,Mostly A's,Often,5,15,Year 2 Trimester 1,3.7816,A,A-,A+,B+,A+,A-,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2003,English,5,Selangor,Yes,A-Level,Mostly B's,Sometimes,3,15,Year 2 Trimester 1,3.35,B+,A-,B+,B-,B,A-,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2004,Chinese,3,Perak,Yes,Foundation in Science,Mostly B's,Sometimes,3,6,Year 2 Trimester 2,2.5,B+,B,,C,C+,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Selangor,No,Foundation in Art,Mostly A's,Often,4,0,Year 3 Trimester 1,2.98,B,A,B+,B,C+,B-,B+,B+,B,B,B+,C+,B-,B+,B,,,,,,,,,,,,B-,,,,C+,,,,
Male,2002,English,4,Negeri Sembilan,Yes,UEC (Unified Examination Certificate),Mostly C's,Sometimes,4,7,Year 3 Trimester 1,2.5385,B-,B+,C,B,,B-,B-,B-,B-,C+,B+,C+,C,B,,,,,,,,,,,,,C+,,,,,,,,C
Male,2003,English,4,Kuala Lumpur,No,Foundation in Art,Mostly B's,Never,4,2,Year 3 Trimester 1,3.1921,C+,A,A-,A-,C+,B+,B+,A,A-,C+,A-,B+,B,A-,B-,,,,,,,B+,,,,,B,,,,,,,,
Male,2003,Chinese,3,Perak,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,4,4,Year 2 Trimester 1,3.29,B,C+,A,A-,,A-,A,,,A-,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2003,Chinese,5,Selangor,No,Foundation in Art,Mostly B's,Sometimes,4,2,Year 3 Trimester 1,2.83,C+,B,C,B+,C,B,B+,B+,B+,B-,B+,B,B,B+,C+,,,,,,,,,,,,B,,,,C+,,,,
Male,2004,Chinese,3,Selangor,Yes,Foundation in Science,Mostly C's,Sometimes,3,4,Year 2 Trimester 1,2.5,B,C+,B-,B-,C,B-,C,C+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2003,English,4,Kedah,Yes,Foundation in Science,Mostly A's,Sometimes,4,6,Year 3 Trimester 3,3.5,B,A,,A-,B-,C,A+,A+,B+,B+,A-,A,A,B+,B+,,A,B+,A-,A-,,,,,,,,A,,,B+,,,,A-
Male,2003,Chinese,3,Sarawak,Yes,Foundation in Science,Mostly B's,Sometimes,4,7,Year 3 Trimester 2,2.7,B-,B-,C,B,B-,B,B-,B-,B,B-,,B-,C+,C+,,,B-,C+,C+,,,,,,,,B-,,,,,,,,B-
Female,2002,English,4,Kuala Lumpur,Yes,Foundation in Science,Mostly B's,Often,5,3,Year 3 Trimester 1,3.3,B+,B+,C,A-,B-,B,C+,A-,B+,B,B+,A-,B+,A-,,,,,,,,A-,,,,,,,,,,,,,B+
Male,2002,Chinese,3,Malacca,Yes,Foundation in Science,Mostly A's,Never,4,5,Year 2 Trimester 3,3.78,A+,A,A,A,A,B,,,,,A,A-,A,A-,,,,,,,,,,,,,B+,,,,,,,,
Male,2003,Chinese,3,Johor,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,3,6,Year 2 Trimester 3,3.7,A,A,A,A,A,B,,,A,,A-,A,A-,A-,,,,,,,,,,,,,,A+,,,,,,,
Male,2003,Chinese,4,Johor,Yes,Foundation in Science,Mostly B's,Sometimes,4,2,Year 3 Trimester 2,3.2083,B,B+,C+,B-,A-,C+,A-,A-,A-,B,A-,B,B+,A,C+,,A,,,,,A-,,,,,,,,,B,,,,
Male,2024,English,4,Selangor,Yes,Foundation in Science,Mostly B's,Often,4,5,Year 3 Trimester 1,3.4,A,A,B,B+,A-,B,B,,B+,B+,A,B+,B+,A-,,,,,,,,A,,,,B-,B+,,,,B-,,,,
Male,2002,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,4,4,Year 2 Trimester 3,3.73,A+,A-,A,A,A,B+,,,,,A,A,B,A,,,,,,,,,,,,,B+,A,,,,,,,
Male,2004,English,4,Penang,No,Diploma,Mostly B's,Often,4,20,Year 3 Trimester 2,3.43,A,A,B+,C+,A-,A-,B+,B+,B+,B+,,A,A-,B,B-,B+,A,B+,A-,B-,,,B+,B+,,,,,,,,,,,
Male,2001,Chinese,3,Johor,Yes,Foundation in Art,Mostly B's,Often,4,2,Year 2 Trimester 3,2.85,A-,B,B-,C,B-,C,,,,,A-,,,,,,,,,,,,,,,,,,,,C,A-,A-,,B
Female,2024,Chinese,3,Sabah,Yes,Foundation in Science,Mostly A's,Very Often,4,6,Year 1 Trimester 3,3.8454,A,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2001,English,5,Johor,Yes,Foundation in Science,Mostly A's,Often,4,15,Year 3 Trimester 1,3.82,A,A+,A-,A,A,B+,A+,A,A,A-,A,A,A-,A,,,,,,,,A,,,,A-,A,,,,A-,,,,
Female,2004,Chinese,3,Johor,Yes,Foundation in Science,Mostly B's,Often,4,24,Year 1 Trimester 3,3.6169,A,,,A-,,A-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2002,Chinese,4,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Never,4,5,Year 2 Trimester 2,3.68,A,A,A,A,A-,B-,,,,,,A-,A,A-,,,,,,,,A-,,,,,,,,,,,,,
Male,2004,Chinese,4,Penang,Yes,Foundation in Science,Mostly A's,Very Often,5,8,Year 2 Trimester 3,3.63,A,A,A,A,B+,B+,,,,B+,A,B+,B+,A-,,,,,,,,,,,,,,A,,,,,,,
Male,2002,Chinese,3,Selangor,Yes,Diploma,Mostly A's,Very Often,5,5,Year 1 Trimester 2,3.3,A,,A,A-,A,B+,A,,A,A,,B,,,,,,,,,,,,,,,,,,,,,,,
Female,2004,English,4,Kuala Lumpur,Yes,Foundation in Art,Mostly A's,Sometimes,3,4,Year 2 Trimester 2,3.76,A,A,A,A-,A,B+,A,,,A,,A-,B+,A,,,,,,,,,,,,,,,,,,,,,
Female,2004,English,4,Selangor,Yes,Foundation in Science,Mostly C's,Never,4,0,Year 3 Trimester 1,2.34,C,C+,C,C+,C,C+,B-,,B-,C+,A-,C,C,C,C+,,,,,,,B,,,,B-,B,,,,F,,,,
Male,2002,Chinese,4,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,4,3,Year 3 Trimester 1,3.3,A-,B+,B-,A-,B+,B+,A,A-,A-,B+,B+,A-,B,B+,,,,,,,,,,,,,,A,,,,,,,
Male,2024,English,5,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,4,10,Year 3 Trimester 1,2.9955,A-,B+,C,B,B,B-,B,B+,B-,B,A-,B,B-,B+,,,,,,,,,,,,C,,,,,B-,,B+,,
Male,2003,English,5,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Never,3,0,Year 2 Trimester 3,3.71,A-,A-,B,A,A-,B+,A-,,,,A,A,A-,A-,,,,,,,,,,,,,,,,,A+,,,,
Female,1998,English,4,Johor,Yes,Foundation in Science,Mostly A's,Often,3,12,Year 2 Trimester 2,3.932,A,A,A+,A+,A,B+,A,,,A,,A,A-,,,,,,,,,,,,,,,,A,,,A+,,,A
Female,2002,English,4,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,3,8,Year 2 Trimester 3,2.566,B,C+,,B+,C,B,,,,,B-,C,C+,C,,,,,,,,,,,,,,,B,,,,,,
Male,2003,Chinese,3,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,4,6,Year 3 Trimester 1,2.9,C+,B,B-,B,C,B-,B,A-,A-,B,A,B-,B,A-,,,,,,,,,,,,,B-,,,,,,,,B-
Female,2002,Chinese,3,Johor,Yes,Foundation in Science,Mostly A's,Never,4,21,Year 2 Trimester 1,3.65,A,A-,B,A-,A,B+,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2003,Chinese,3,Kelantan,Yes,Foundation in Science,Mostly A's,Sometimes,3,2,Year 1 Trimester 3,3.77,A,,,A-,,A-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2004,English,3,Johor,Yes,Foundation in Science,Mostly A's,Never,4,3,Year 1 Trimester 3,3.84,A,,,A+,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2004,Chinese,3,Selangor,Yes,Foundation in Science,Mostly B's,Often,4,4,Alumni,3.6,A-,A,A,B,A,B+,B+,A,A,B+,A-,A,A-,B+,B,B+,A,B+,B+,A,B,,,,B+,,,,B+,,,,,,
Male,2003,Chinese,4,Kuala Lumpur,No,Foundation in Art,Mostly A's,Often,4,8,Year 2 Trimester 1,3.2879,A-,B+,A-,C+,B-,B+,A-,A-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2002,English,4,Kuala Lumpur,Yes,Foundation in Science,Mostly B's,Very Often,3,10,Year 3 Trimester 1,3.2201,B,B+,B+,A-,B+,C+,B-,A-,A-,B+,A-,B+,B+,B-,B-,,A,,,,,B,,,,,,,,,,,,,
Male,2002,Chinese,3,Negeri Sembilan,No,Foundation in Art,Mostly C's,Sometimes,4,1,Year 3 Trimester 1,2.4,C,B,C,B-,C+,C,F,B-,B-,B,A-,B-,C+,B+,C+,,B-,,,,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Kuala Lumpur,No,Foundation in Art,Mostly B's,Sometimes,3,5,Year 3 Trimester 1,2.5,C,B-,C+,C,C,B,F,B+,C+,C+,A-,C,C+,B-,C+,,C,,,,,,,,,,,,,,,,B-,,
Male,2003,English,5,Selangor,Yes,Foundation in Science,Mostly B's,Never,5,2,Year 3 Trimester 2,3.37,A,A-,B-,B+,B+,B-,B,A-,B,B+,A,B+,B,B+,A-,A-,A-,,,,,,,,,,,,A-,,,,B+,,
Male,2003,English,4,Selangor,Yes,Foundation in Science,Mostly A's,Often,4,10,Year 3 Trimester 2,3.84,A+,A,A,A,A+,B+,A,A,A,A,A,A,A,A,B+,B,A+,,,,,,A,,,,,A,,,A,,,A,
Male,2003,Chinese,4,Perak,Yes,UEC (Unified Examination Certificate),Mostly B's,Often,4,9,Year 3 Trimester 2,3.1328,A-,B+,C,A-,B,B-,A-,B+,B,B,A,B+,C+,A-,B-,C+,A,,,,,,B-,,B-,B,,,,,B+,,,,
Female,2003,Chinese,3,Selangor,Yes,Foundation in Art,Mostly A's,Very Often,3,30,Year 2 Trimester 2,3.92,A,A-,A+,A,A,A,A+,A,A,,,A,A-,A,A,,,,,,,,,,,,,,,,,,,,
Male,2002,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,4,5,Alumni,3.677,A,A,A,B+,A,A-,A-,A,A+,A,A-,A,A-,A,B,B,A+,B+,A-,A+,A-,A-,A-,,,,,,,,,,,,A
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,4,5,Year 2 Trimester 3,3.4998,A-,A,B+,A,B+,B,B+,,,,A-,A,B+,A-,,,,,,,,,,,,,B,,,,,,,,
Female,2002,Chinese,3,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,4,5,Year 3 Trimester 2,2.4844,C,B-,C,C,C+,C+,C,B+,B,B-,,B-,B+,B-,C,,A-,,,,,,,,,,,,,,,,,,
Male,2002,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,4,5,Year 2 Trimester 3,3.1335,A-,A-,C+,B,B+,C+,B-,B+,A-,B-,A-,B+,B,B+,B-,,B,,,,,,,,,,,,,,B,,,,
